지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
안산시, 61,화진금속공업-부천터미널소풍,4,평일,07시~08시,899,755,1654,10.0,120,94.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,16시~17시,846,814,1660,8.0,90,94.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,16시~17시,254,233,487,25.0,86,92.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,18시~19시,382,370,752,15.0,78,92.0
시흥시, 23,월곶역-본오동차고지,4,평일,14시~15시,583,517,1100,12.5,99,92.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,17시~18시,146,119,265,32.5,65,91.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,15시~16시,583,595,1178,8.5,69,90.0
안산시, 38,부천역차고지-에이스아파트,4,평일,07시~08시,374,320,694,11.5,39,90.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,15시~16시,437,362,799,12.0,74,89.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),4,평일,07시~08시,354,262,616,20.0,99,89.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,19시~20시,438,526,964,12.0,74,89.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,17시~18시,246,209,455,25.0,86,89.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,4,평일,07시~08시,61,58,119,70.0,54,89.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,19시~20시,325,368,693,13.0,39,88.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,09시~10시,573,588,1161,8.5,69,88.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,19시~20시,76,74,150,60.0,65,88.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,09시~10시,76,77,153,60.0,65,88.0
