순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
40357,세븐힐빌리지,12647.057,3727.972,180919.68402,440777.73127,224000991,25311
40360,버들캠프장,12646.936,3728.187,180742.07232,441176.18214,224000992,25354
40361,버들캠프장,12646.937,3728.205,180744.131,441208.61445,224000993,25355
40363,약수터고개,12646.973,3728.277,180797.15306,441342.97759,224000994,25555
40364,약수터고개,12646.973,3728.289,180797.15273,441363.56951,224000995,25556
40365,신세계프리미엄아울렛,12644.346,3722.798,176895.43724,431217.91498,224000996,25967
40366,이지더원,12642.902,3721.585,174758.32979,428979.94524,224000997,25968
27525,한라비발디1차,12642.667,3721.729,174412.11256,429247.25739,224000998,25969
24202,한울공원,12642.772,3721.993,174568.63633,429734.24174,224000999,25970
24205,서울대시흥캠퍼스.한라1차,12642.799,3721.989,174607.46437,429727.1239,224001000,25971
24206,한라비발디1차,12642.665,3721.749,174408.9187,429284.90706,224001001,25972
24208,한라비발디2차,12643.039,3721.742,174960.80082,429269.17842,224001002,25973
24128,호반써밋플레이스,12643.508,3722.188,175655.61139,430092.33205,224001003,25974
24129,신세계프리미엄아울렛,12644.368,3722.812,176928.04118,431242.28542,224001004,25975
24130,한라비발디3차,12643.018,3721.711,174929.83483,429211.83796,224001005,25976
24131,한라3차.이지더원,12642.996,3721.552,174895.65965,428918.50687,224001006,25977
24132,생명공원,12643.517,3722.226,175668.90059,430162.32274,224001007,25978
24133,서울대시흥캠퍼스,12643.249,3721.938,175271.24435,429631.62838,224001008,25979
24134,서울대시흥캠퍼스,12643.24,3721.902,175258.32045,429564.93309,224001009,25980
24138,도리재,12650.305,3723.584,185694.51188,432650.54733,224001010,25981
24139,두성특장차,12643.603,3719.156,175779.11753,424483.67408,224001011,25687
21744,원우정공,12643.45,3718.917,175553.03333,424041.48687,224001012,25022
21746,두성특장차,12643.617,3719.174,175801.14142,424516.48319,224001013,25688
21749,명칭예정지,12641.526,3719.826,172714.87025,425731.53851,224001016,25713
21756,기계유통단지,12641.246,3719.796,172301.94193,425677.87454,224001017,25036
