노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  35,07시~08시,180.0,92,103.0,1.02,1.17,0.1499999999999999,157.26,89.74,18시~19시,12.0,0.8700000000000001,211.49,14.37
  39,08시~09시,20.5,45,128.0,5.85,7.6,1.75,15.79,98.36,21시~22시,33.0,4.1,29.27,46.95
  39,17시~18시,20.5,45,114.0,5.85,7.39,1.54,16.24,89.99,10시~11시,40.0,4.31,27.84,54.52
  39,07시~08시,20.5,45,165.0,5.85,7.6,1.75,15.79,126.97,13시~14시,29.0,4.1,29.27,40.85
  39,18시~19시,20.5,45,123.0,5.85,7.6,1.75,15.79,95.07,12시~13시,35.0,4.1,29.27,50.0
  50,08시~09시,60.0,65,114.0,2.17,2.75,0.5800000000000001,47.27,90.0,10시~11시,37.0,1.5899999999999999,81.76,50.31
  50,07시~08시,60.0,65,125.0,2.17,2.82,0.6499999999999999,46.1,95.74,13시~14시,29.0,1.52,85.53,41.12
  50,18시~19시,60.0,65,102.0,2.17,2.44,0.27,53.28,90.16,12시~13시,39.0,1.9,68.42,44.74
  530,08시~09시,20.0,99,107.0,9.9,11.72,1.8200000000000003,16.89,90.02,10시~11시,21.0,8.08,24.5,25.37
  55,18시~19시,9.0,93,100.0,20.67,22.89,2.219999999999999,8.13,90.0,21시~22시,33.0,18.450000000000003,10.08,36.45
  5602,17시~18시,11.5,92,106.0,16.0,18.89,2.8900000000000006,9.74,89.99,13시~14시,49.0,13.11,14.04,59.31
  5602,08시~09시,11.5,92,118.0,16.0,20.8,4.800000000000001,8.85,90.62,12시~13시,45.0,11.2,16.43,64.29
  5602,07시~08시,11.5,92,122.0,16.0,20.8,4.800000000000001,8.85,93.75,21시~22시,45.0,11.2,16.43,64.29
  5602,18시~19시,11.5,92,133.0,16.0,20.8,4.800000000000001,8.85,102.04,11시~12시,43.0,11.2,16.43,61.83
  61,08시~09시,10.0,120,106.0,24.0,28.39,4.390000000000001,8.45,90.0,20시~21시,48.0,19.61,12.24,59.28
  61,18시~19시,10.0,120,111.0,24.0,29.53,5.530000000000001,8.13,89.99,21시~22시,27.0,18.47,12.99,34.92
  62,17시~18시,8.0,108,146.0,27.0,35.1,8.100000000000001,6.15,112.32,10시~11시,66.0,18.9,11.43,93.65
  62,18시~19시,8.0,108,147.0,27.0,35.1,8.100000000000001,6.15,112.89,11시~12시,61.0,18.9,11.43,86.51
  62,07시~08시,8.0,108,112.0,27.0,33.61,6.609999999999999,6.43,90.0,13시~14시,69.0,20.39,10.59,91.96
  62,08시~09시,8.0,108,144.0,27.0,35.1,8.100000000000001,6.15,110.47,21시~22시,67.0,18.9,11.43,95.77
  62,16시~17시,8.0,108,108.0,27.0,32.33,5.329999999999998,6.68,90.01,12시~13시,69.0,21.67,9.97,85.72
  63,08시~09시,15.0,78,111.0,10.4,12.83,2.4299999999999997,12.16,90.02,10시~11시,39.0,7.970000000000001,19.57,51.44
  66,18시~19시,12.0,74,146.0,12.33,16.03,3.700000000000001,9.23,111.98,10시~11시,50.0,8.629999999999999,17.15,70.97
  66,17시~18시,12.0,74,110.0,12.33,15.11,2.7799999999999994,9.79,90.01,20시~21시,68.0,9.55,15.5,87.7
  66,08시~09시,12.0,74,132.0,12.33,16.03,3.700000000000001,9.23,101.84,11시~12시,52.0,8.629999999999999,17.15,74.16
  66,16시~17시,12.0,74,104.0,12.33,14.25,1.92,10.39,90.0,12시~13시,70.0,10.41,14.22,82.37
  76,07시~08시,90.0,86,126.0,1.91,2.48,0.5700000000000001,69.35,96.77,16시~17시,25.0,1.3399999999999999,128.36,35.45
  81,07시~08시,13.0,39,118.0,9.23,12.0,2.7699999999999996,10.0,91.04,11시~12시,42.0,6.460000000000001,18.58,59.6
  81,08시~09시,13.0,39,100.0,9.23,10.22,0.9900000000000002,11.74,90.02,14시~15시,48.0,8.24,14.56,54.31
  98,07시~08시,27.5,104,106.0,7.56,8.89,1.330000000000001,23.4,89.99,11시~12시,33.0,6.229999999999999,33.39,40.13
  98,08시~09시,27.5,104,101.0,7.56,8.5,0.9400000000000004,24.47,90.0,10시~11시,37.0,6.619999999999999,31.42,41.92
