노선,시·종점,시간,승차,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,포화도감소율
  23-2,계수동종점-라일락마을어린이공원,08시~09시,678,8.5,69,104.0,16.24,18.83,2.59,7.33,90.02,13.980000000000004
  12,삼미시장-김포공항국내선(9번홈),18시~19시,369,15.0,67,103.0,8.93,10.25,1.3200000000000003,13.07,90.0,13.0
  76,본오교회앞-동보아파트후문.군자교회,21시~22시,79,90.0,86,103.0,1.91,2.19,0.28,78.54,90.18,12.819999999999993
  66,부인초교-용못내공원.옥길동종점,17시~18시,506,12.0,74,103.0,12.33,14.06,1.7300000000000004,10.53,89.97,13.030000000000001
  98,오이도차고지-수변공원휴게소,18시~19시,309,27.5,104,102.0,7.56,8.58,1.0200000000000005,24.24,90.03,11.969999999999999
  125,홈플러스-본오교회앞,16시~17시,452,17.5,97,102.0,11.09,12.56,1.4700000000000006,15.45,89.97,12.030000000000001
  2(광명),스타필드시티부천-안양역,18시~19시,919,8.0,90,102.0,22.5,25.53,3.030000000000001,7.05,89.99,12.010000000000005
  5602,이마트-구로디지털단지역환승센터(1번승강장),08시~09시,646,11.5,92,101.0,16.0,17.94,1.9400000000000013,10.26,90.02,10.980000000000004
  11,광명돔경륜장.광남문-안양역,08시~09시,161,32.5,65,101.0,4.0,4.47,0.46999999999999975,29.08,90.04,10.959999999999994
  76,본오교회앞-동보아파트후문.군자교회,07시~08시,77,90.0,86,101.0,1.91,2.14,0.2300000000000002,80.37,89.95,11.049999999999997
  62,본오동종점-한라비발디1차,21시~22시,1082,8.0,108,100.0,27.0,30.06,3.0599999999999987,7.19,89.99,10.010000000000005
  22,자원재생공사-삼천리마을앞,07시~08시,442,17.5,97,100.0,11.09,12.28,1.1899999999999995,15.8,89.98,10.019999999999996
